Date and Time,Gage Height (ft),POSIX Stamp
05/24/2013 10:30:07,1.43,1369405807.0
05/28/2013 11:40:03,1.65,1369755603.0
06/06/2013 10:33:40,1.58,1370529220.0
06/10/2013 15:34:38,1.56,1370892878.0
06/13/2013 13:48:54,1.52,1371145734.0
06/19/2013 13:11:28,1.46,1371661888.0
07/03/2013 09:50:00,2.02,1372859400.0
07/11/2013 09:34:46,1.92,1373549686.0
07/18/2013 14:06:44,1.78,1374170804.0
07/22/2013 11:48:24,1.67,1374508104.0
07/25/2013 11:45:38,1.62,1374767138.0
07/31/2013 11:27:44,1.66,1375284464.0
08/03/2013 17:12:50,1.59,1375564370.0
08/03/2013 19:24:35,1.6,1375572275.0
08/08/2013 10:57:22,1.51,1375973842.0
08/08/2013 15:40:55,1.5,1375990855.0
08/15/2013 09:58:21,1.35,1376575101.0
08/15/2013 12:29:26,1.34,1376584166.0
08/24/2013 08:56:35,1.1,1377348995.0
08/27/2013 14:45:45,1.08,1377629145.0
09/05/2013 11:42:14,0.88,1378395734.0
09/07/2013 10:55:27,0.87,1378565727.0
09/10/2013 09:23:02,0.78,1378819382.0
09/11/2013 11:00:34,0.8,1378911634.0
09/25/2013 11:51:15,0.64,1380124275.0
10/02/2013 09:44:59,0.56,1380721499.0
10/08/2013 18:04:23,0.58,1381269863.0
10/13/2013 13:59:03,0.5,1381687143.0
10/14/2013 13:41:05,0.48,1381772465.0
10/18/2013 10:21:04,0.44,1382106064.0
10/27/2013 16:26:38,0.35,1382905598.0
11/09/2013 08:42:21,0.4,1384004541.0
11/15/2013 10:29:52,0.32,1384529392.0
11/21/2013 09:16:54,0.36,1385043414.0
