Date and Time,Gage Height (ft),POSIX Stamp
05/14/2013 15:13:08,31.9,1368558788.0
05/22/2013 14:23:05,31.5,1369246985.0
05/25/2013 14:14:35,31.45,1369505675.0
06/04/2013 14:46:01,31.6,1370371561.0
06/06/2013 13:21:23,31.45,1370539283.0
06/07/2013 20:39:17,31.4,1370651957.0
06/09/2013 18:44:04,31.2,1370817844.0
06/15/2013 12:10:18,33.8,1371312618.0
06/16/2013 16:52:09,33.5,1371415929.0
06/19/2013 15:04:49,32.4,1371668689.0
06/26/2013 11:45:36,31.6,1372261536.0
07/19/2013 09:55:02,31.5,1374242102.0
08/02/2013 09:53:29,31.3,1375451609.0
08/06/2013 13:41:31,31.36,1375810891.0
08/15/2013 14:47:26,31.5,1376592446.0
08/17/2013 10:52:05,31.64,1376751125.0
08/21/2013 16:35:24,31.4,1377117324.0
08/25/2013 10:17:27,29.5,1377440247.0
08/28/2013 19:00:57,32.7,1377730857.0
09/04/2013 16:10:54,31.06,1378325454.0
09/04/2013 19:02:33,31.5,1378335753.0
09/21/2013 12:36:30,31.2,1379781390.0
09/22/2013 15:35:08,31.41,1379878508.0
09/28/2013 14:28:06,31.4,1380392886.0
10/02/2013 10:37:16,30.8,1380724636.0
10/05/2013 17:22:34,32.52,1381008154.0
10/05/2013 17:30:22,32.5,1381008622.0
10/11/2013 10:35:33,31.3,1381502133.0
10/12/2013 17:12:18,31.2,1381612338.0
10/20/2013 13:40:45,31.1,1382290845.0
10/20/2013 16:34:05,31.1,1382301245.0
10/24/2013 12:11:18,30.9,1382631078.0
10/24/2013 13:34:29,30.9,1382636069.0
10/25/2013 11:51:17,31.0,1382716277.0
10/26/2013 11:34:33,31.08,1382801673.0
10/28/2013 18:20:41,30.61,1382998841.0
11/03/2013 13:32:54,31.9,1383503574.0
11/03/2013 15:05:57,31.9,1383509157.0
11/07/2013 12:02:52,31.6,1383843772.0
11/16/2013 12:32:48,31.29,1384623168.0
11/23/2013 13:41:41,31.6,1385232101.0
