Date and Time,Gage Height (ft),POSIX Stamp
10/16/2013 09:07:37,1.0,1381928857.0
11/02/2013 17:20:39,1.11,1383427239.0
11/02/2013 17:24:47,2.22,1383427487.0
11/02/2013 17:26:38,1.9,1383427598.0
11/02/2013 17:27:26,2.9,1383427646.0
11/10/2013 15:53:20,3.35,1384116800.0
11/10/2013 17:40:02,18.0,1384123202.0
11/10/2013 17:40:28,6.0,1384123228.0
11/10/2013 17:40:32,15.0,1384123232.0
11/10/2013 17:40:39,11.0,1384123239.0
11/10/2013 17:40:42,10.0,1384123242.0
11/10/2013 17:40:53,3.0,1384123253.0
11/16/2013 07:59:39,16.0,1384606779.0
