Date and Time,Gage Height (ft),POSIX Stamp
06/12/2013 09:51:30,14.96,1371045090.0
06/17/2013 10:10:39,15.08,1371478239.0
06/17/2013 15:03:09,15.08,1371495789.0
06/18/2013 11:41:47,15.02,1371570107.0
06/18/2013 13:32:19,15.0,1371576739.0
06/20/2013 10:41:47,15.0,1371739307.0
06/26/2013 11:19:56,16.2,1372259996.0
06/27/2013 06:32:00,16.3,1372329120.0
06/27/2013 14:32:59,16.2,1372357979.0
07/01/2013 08:12:12,15.4,1372680732.0
07/02/2013 14:42:34,15.22,1372790554.0
07/03/2013 06:38:40,15.15,1372847920.0
07/03/2013 10:20:47,15.1,1372861247.0
07/08/2013 07:33:24,15.09,1373283204.0
07/09/2013 07:10:00,15.08,1373368200.0
07/10/2013 07:10:31,14.95,1373454631.0
07/11/2013 09:18:23,14.9,1373548703.0
07/12/2013 06:52:57,14.92,1373626377.0
07/15/2013 07:11:01,14.9,1373886661.0
07/16/2013 10:34:59,14.9,1373985299.0
07/18/2013 07:18:07,14.9,1374146287.0
07/19/2013 08:01:03,14.92,1374235263.0
07/22/2013 10:51:13,14.9,1374504673.0
07/23/2013 07:07:13,14.9,1374577633.0
07/24/2013 11:52:44,14.88,1374681164.0
07/25/2013 10:22:49,14.88,1374762169.0
07/26/2013 09:12:07,14.86,1374844327.0
07/26/2013 09:38:20,14.82,1374845900.0
07/29/2013 14:21:31,14.88,1375122091.0
07/30/2013 11:31:07,14.86,1375198267.0
07/30/2013 14:09:37,14.88,1375207777.0
07/31/2013 09:43:56,14.9,1375278236.0
08/02/2013 08:58:40,14.98,1375448320.0
08/06/2013 09:02:56,15.0,1375794176.0
08/07/2013 06:54:59,15.02,1375872899.0
08/08/2013 09:16:06,15.0,1375967766.0
08/12/2013 07:42:14,14.98,1376307734.0
08/13/2013 09:52:46,14.96,1376401966.0
08/14/2013 10:36:27,14.96,1376490987.0
08/15/2013 07:03:44,14.96,1376564624.0
08/19/2013 09:18:32,14.94,1376918312.0
08/20/2013 13:50:22,14.94,1377021022.0
08/22/2013 13:40:58,14.94,1377193258.0
08/23/2013 08:21:50,14.96,1377260510.0
08/26/2013 06:57:41,14.92,1377514661.0
08/27/2013 08:37:32,14.92,1377607052.0
08/28/2013 11:53:59,14.92,1377705239.0
08/29/2013 06:50:41,14.92,1377773441.0
08/30/2013 09:20:28,14.9,1377868828.0
09/03/2013 08:34:28,15.0,1378211668.0
09/04/2013 11:46:12,15.0,1378309572.0
09/05/2013 07:42:09,15.02,1378381329.0
09/06/2013 08:13:23,14.88,1378469603.0
09/10/2013 08:18:13,14.88,1378815493.0
09/11/2013 07:58:23,14.88,1378900703.0
09/12/2013 10:37:56,14.88,1378996676.0
09/13/2013 09:32:29,14.86,1379079149.0
09/16/2013 07:54:14,14.88,1379332454.0
09/18/2013 14:54:19,14.88,1379530459.0
09/19/2013 07:52:29,14.96,1379591549.0
09/20/2013 10:51:08,14.98,1379688668.0
09/23/2013 06:40:01,14.98,1379932801.0
09/24/2013 11:35:29,14.96,1380036929.0
09/25/2013 09:27:47,14.98,1380115667.0
10/10/2013 09:40:58,15.0,1381412458.0
10/14/2013 08:14:55,14.98,1381752895.0
10/15/2013 09:38:07,14.85,1381844287.0
10/18/2013 07:30:48,14.7,1382095848.0
10/21/2013 08:37:00,14.68,1382359020.0
10/23/2013 07:32:11,14.68,1382527931.0
10/24/2013 14:53:28,14.68,1382640808.0
10/25/2013 11:01:45,14.68,1382713305.0
10/28/2013 11:32:39,14.68,1382974359.0
10/29/2013 10:28:56,14.66,1383056936.0
10/30/2013 07:45:16,14.66,1383133516.0
10/31/2013 08:26:13,14.68,1383222373.0
11/01/2013 10:35:23,14.74,1383316523.0
11/04/2013 08:14:55,14.78,1383570895.0
11/05/2013 13:34:41,14.78,1383676481.0
11/06/2013 13:24:45,14.8,1383762285.0
11/07/2013 09:20:51,14.8,1383834051.0
11/11/2013 08:01:16,14.8,1384174876.0
11/13/2013 14:52:12,14.86,1384372332.0
11/14/2013 08:44:41,14.86,1384436681.0
11/18/2013 07:33:50,15.04,1384778030.0
11/19/2013 07:34:19,15.1,1384864459.0
11/20/2013 09:13:36,15.04,1384956816.0
11/21/2013 10:32:43,14.94,1385047963.0
11/25/2013 13:49:40,14.92,1385405380.0
11/26/2013 09:07:47,14.9,1385474867.0
11/27/2013 11:03:50,14.9,1385568230.0
12/03/2013 09:10:03,14.88,1386079803.0
12/04/2013 07:34:36,14.88,1386160476.0
